4003|1|192.168.1.22|36262|192.168.1.7|80|20160118:000000000
4003|1|192.168.1.22|37107|192.168.1.7|80|20160118:000020146
4003|1|192.168.1.22|31796|192.168.1.7|80|20160118:000043417
4003|1|192.168.1.22|33072|192.168.1.7|80|20160118:000055203
4003|1|192.168.1.22|39967|192.168.1.7|80|20160118:000123945
4003|1|192.168.1.22|31586|192.168.1.7|80|20160118:000126607
4003|1|192.168.1.22|39305|192.168.1.7|80|20160118:000138557
4003|1|192.168.1.22|35754|192.168.1.7|80|20160118:000208756
4003|1|192.168.1.22|34083|192.168.1.7|80|20160118:000245814
4003|1|192.168.1.22|36850|192.168.1.7|80|20160118:000245914
4003|1|192.168.1.22|37061|192.168.1.7|80|20160118:000321291
4003|1|192.168.1.22|34727|192.168.1.7|80|20160118:000457980
4003|1|192.168.1.22|32418|192.168.1.7|80|20160118:000504913
4003|1|192.168.1.22|31203|192.168.1.7|80|20160118:000534888
4003|1|192.168.1.22|32057|192.168.1.7|80|20160118:000727414
4003|1|192.168.1.22|38987|192.168.1.7|80|20160118:000752959
4003|1|192.168.1.22|35393|192.168.1.7|80|20160118:000817524
4003|1|192.168.1.22|33572|192.168.1.7|80|20160118:000834452
4003|1|192.168.1.22|36061|192.168.1.7|80|20160118:000919697
4003|1|192.168.1.22|39097|192.168.1.7|80|20160118:000920885
4003|1|192.168.1.22|32232|192.168.1.7|80|20160118:001012363
4003|1|192.168.1.22|31736|192.168.1.7|80|20160118:001138509
4003|1|192.168.1.22|38452|192.168.1.7|80|20160118:001258101
4003|1|192.168.1.22|38678|192.168.1.7|80|20160118:001324006
4003|1|192.168.1.22|33402|192.168.1.7|80|20160118:001359158
4003|1|192.168.1.22|32780|192.168.1.7|80|20160118:001433777
4003|1|192.168.1.22|32890|192.168.1.7|80|20160118:001441413
4003|1|192.168.1.22|32880|192.168.1.7|80|20160118:001442743
4003|1|192.168.1.22|36475|192.168.1.7|80|20160118:001511941
4003|1|192.168.1.22|36375|192.168.1.7|80|20160118:001517285
4003|1|192.168.1.22|38799|192.168.1.7|80|20160118:001533913
